Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate	theta	population_size	
0	-7336.370728947401	-7162.050546816175	-174.32018213122686	0.1	0.2701176263486813	0.011264262357145562	0.01	73980.28445286545	
50	-6079.575632755385	-5959.852050814456	-119.72358194092992	0.10965964613981388	0.4723267512813276	0.03852275963630736	0.008350485844279802	18063.966001563273	
100	-5939.250993750845	-5864.838932039059	-74.4120617117863	0.25376128425637356	0.7533208895896074	0.034190811715150635	0.008628972745904141	21031.412420081244	
150	-5870.376722774244	-5832.774409037335	-37.602313736908755	0.42884242577774284	1.3028025845064237	0.027443458278593954	0.008984392306297714	27281.523751769008	
200	-5850.797422051658	-5825.360377854754	-25.43704419690446	0.4438074265059582	1.7611623719411527	0.027443458278593954	0.009845951598979425	29897.688485623916	
250	-5834.136608858682	-5821.132726628671	-13.003882230011314	0.9792328624819319	2.4217606121669415	0.02343551520289765	0.011699749874959383	41602.63377209925	
300	-5833.696503952785	-5822.54422343274	-11.15228052004456	0.8623978182269224	2.8623992661979187	0.018406048445076973	0.011699749874959383	52970.58513976643	
350	-5829.424263615407	-5818.838077056317	-10.586186559089235	0.7567804410775677	3.174169803234819	0.015434133952571807	0.01074009272624023	57988.8531444001	
400	-5819.942075211251	-5810.026468400538	-9.915606810713372	0.7981482829201928	4.134432638907311	0.01562693030277365	0.01074009272624023	57273.4190174144	
450	-5812.948536321082	-5803.357039869065	-9.591496452016923	0.7145742419399508	3.8134250365952145	0.016551755378419717	0.011271621343990972	56749.3753496733	
500	-5813.950476635981	-5804.259911869839	-9.690564766142458	0.8398513253220564	3.946872390564156	0.01826669106560991	0.012749217367764177	58162.410303594894	
550	-5814.397642817521	-5803.335125936571	-11.062516880949836	0.8939476218672352	4.554067333234833	0.015929156702762994	0.0118998399156916	62253.97519855059	
600	-5816.186321086475	-5801.215224024095	-14.971097062379659	0.9502466866649244	5.502792203860924	0.013143689811034502	0.012424875662911639	78775.92366592397	
650	-5818.907581392449	-5804.435126660765	-14.472454731684918	0.5899574016073617	5.715871134003773	0.013633434824927737	0.012709406436386756	77685.28009505803	
700	-5819.131573133053	-5803.646795418833	-15.484777714220714	0.7382508165602275	5.879699543503415	0.012698462035914479	0.01333005597388291	87478.1524472683	
750	-5812.819145618388	-5801.876967600552	-10.94217801783507	0.8778298186269922	4.548411196549781	0.013213717998931777	0.011330094571983975	71454.11667947356	
800	-5814.459151572148	-5803.785532404048	-10.67361916809922	0.890598814581252	4.444565096502693	0.014298852859707605	0.012304684046528768	71711.37064429508	
